AGE,Range,ID,Cliente,Estado,opco_lico,Helpdesk,Titulo,categoria1,categoria2,categoria3,categoria4,categoria5,categoria6,Fecha de Creación,esta_com_a_v30
40,>30 y <=45,3699962,CGS CUIABA GOIABEIRAS SHOPPING - OPCO - N - B,PENDENTE,OPCO,OFFICE_365,ACESSO POWERBI,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-03-20 00:00:00,MR4.2.5 
30,>15 y <=30,3724705,LEC.TTG Terminal Terrestre,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,TTG - BUMPBAR DE CDP K1 SE ARRANCÓ EL CABLE,RESTAURANT,HARDWARE,Bumpbar,EQUIPO DAÑADO,,,2023-03-30 00:00:00,
28,>15 y <=30,3731508,LEC.ALB Alborada,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,ALB- BUMPBAR TECLAS DAÑADAS,RESTAURANT,HARDWARE,Bumpbar,EQUIPO DAÑADO,,,2023-04-01 00:00:00,
24,>15 y <=30,3743359,LEC.SFC San Francisco,EM ESPERA,OPCO,REST- Soporte Tecnico Ecuador,SFC- BUMPBAR CABLE DAÑADO- MONITOR DLV Y DTE,RESTAURANT,HARDWARE,Bumpbar,NO SIRVE PEDIDOS DE AUTOMAC,,,2023-04-05 00:00:00,
27,>15 y <=30,3734919,LEC.CTM City Mall,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,CTM - IMPRESORA FISCAL POS 38 IMPRIME BORROSO,RESTAURANT,HARDWARE,IMPRESORA FISCAL/TIQUETES,IMPRIME INCORRECTAMENTE,,,2023-04-02 00:00:00,
28,>15 y <=30,3730383,LEC.PDA Plaza de las Americas,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,PDA - KVS DE MOSTRADOR Y COCINA CON ERROR DE RESOLUCION,RESTAURANT,HARDWARE,MONITOR KVS/COCINA,RESOLUCION INCORRECTA,,,2023-04-01 00:00:00,
27,>15 y <=30,3733955,LEC.SUR Sur,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,SUR -PC DE GERENCIA NO INICIA WINDOWS,RESTAURANT,HARDWARE,Pc Gerencia,SIN CONEXION A INTERNET,,,2023-04-02 00:00:00,
26,>15 y <=30,3737780,LEC.AUR Aurora,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,AUR - MEDIANET NO FINALIZA TRANSACCIÓN POS 66,RESTAURANT,HARDWARE,PINPAD,NO FINALIZA TRANSACCION,,,2023-04-03 00:00:00,
27,>15 y <=30,3733927,LEC.SMR Samborondon,EM ESPERA,OPCO,REST- Soporte Tecnico Ecuador,SMR - POS10 DLV - NO INICIA WINDOWS,RESTAURANT,HARDWARE,Pos,NO INICIA WINDOWS,,,2023-04-02 00:00:00,
27,>15 y <=30,3734317,LEC.MEC Mall el Condado,PENDENTE,OPCO,REST- Soporte Tecnico Ecuador,MEC - SCANER DUALPOINT NO LEE CODIGO,RESTAURANT,HARDWARE,SCANNER ZONA ENTREGA,NO LEE CODIGO,,,2023-04-02 00:00:00,
24,>15 y <=30,3744615,LEC.CEI Ceibos,EM ESPERA,OPCO,REST- Soporte Tecnico Ecuador,CEI - TABLET 81 AUTOMAC NO ENCIENDE,RESTAURANT,HARDWARE,TABLETS TOMADORAS,NO ENCIENDE,,,2023-04-05 00:00:00,
24,>15 y <=30,3741258,LEC.TTG Terminal Terrestre,EM ESPERA,OPCO,REST- Soporte Tecnico Ecuador,TTG - ERROR EN CIERRE DE DÍA 4/4 EN FLEX,RESTAURANT,SOFTWARE,FLEX BACKOFFICE,FLEX INVENTARIO,CIERRE DE DIA,,2023-04-05 00:00:00,
25,>15 y <=30,3741114,LEC.SUR Sur,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,SUR - KVS DE AUTOMAC CON PANTALLA NEGRA,RESTAURANT,SOFTWARE,MONITOR KVS/ COCINA,SIN SEÑAL,,,2023-04-04 00:00:00,
23,>15 y <=30,3745235,LEC.SMR Samborondon,EM ESPERA,OPCO,REST- Soporte Tecnico Ecuador,SMR - PC DE GERENCIA NO INICIA WINDOWS,RESTAURANT,SOFTWARE,Pc Gerencia,NO INICIA WINDOWS,,,2023-04-06 00:00:00,
24,>15 y <=30,3744527,LEC.CEI Ceibos,EM ESPERA,OPCO,REST- Soporte Tecnico Ecuador,CEI - TABLET TOMADORA CON MENSAJE NO INICIA,RESTAURANT,SOFTWARE,TABLETS TOMADORAS,NO INICIA NEWPOS,,,2023-04-05 00:00:00,
45,>30 y <=45,3685393,LEC.PRT El Portal Shopping,EM ESPERA,OPCO,REST- Soporte Tecnico Ecuador,PRT - BUMPBAR - ESTA UNA TECLA ROTA,RESTAURANT,HARDWARE,Bumpbar,EQUIPO DAÑADO,,,2023-03-15 00:00:00,
45,>30 y <=45,3686787,LEC.MSO Mall del Sol,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,MSO - BUMPBAR TECLAS DAÑADAS,RESTAURANT,HARDWARE,Bumpbar,EQUIPO DAÑADO,,,2023-03-15 00:00:00,
38,>30 y <=45,3706106,LEC.MSO Mall del Sol,EM ESPERA,OPCO,REST- Soporte Tecnico Ecuador,MSO - BUMPBAR DE MOSTRADOR - CABLES DAÑADOS,RESTAURANT,HARDWARE,Bumpbar,EQUIPO DAÑADO,,,2023-03-22 00:00:00,
40,>30 y <=45,3699470,LEC.PDA Plaza de las Americas,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,PDA - GRILL  - NO IMPRIME,RESTAURANT,HARDWARE,IMPRESORA GRILL/ESPECIALES,NO IMPRIME,,,2023-03-20 00:00:00,
45,>30 y <=45,3686703,LEC.CEI Ceibos,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,CEI - PICKLIST - IMPRESORA CON FALLAS,RESTAURANT,HARDWARE,IMPRESORA PICKLIST/COCINA,IMPRIME INCORRECTAMENTE,,,2023-03-15 00:00:00,
37,>30 y <=45,3708517,LEC.SFC San Francisco,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,SFC- IMPRESORA CENTRO DE POSTRE L1 NO IMPRIME,RESTAURANT,HARDWARE,IMPRESORA PICKLIST/COCINA,NO IMPRIME,,,2023-03-23 00:00:00,
44,>30 y <=45,3690261,LEC.PDA Plaza de las Americas,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,PDA- MONITOR DE DUAL POINT MOSTRADOR ESTÁ TITILANDO LA IMAGEN,RESTAURANT,HARDWARE,MONITOR OAT/EXPEDITOR,NO CATEGORIZADO,,,2023-03-16 00:00:00,
35,>30 y <=45,3713597,LEC.ALB Alborada,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,LECTOR QR DE CAJA AUTOMAC DAÑADO,RESTAURANT,HARDWARE,SCANNER QR,EQUIPO DAÑADO,,,2023-03-25 00:00:00,
32,>30 y <=45,3720070,LEC.MSU Mall del Sur,ABERTO,OPCO,REST- Soporte Tecnico Ecuador,MSU - PLS - NO INICIA,RESTAURANT,SOFTWARE,FLEX BACKOFFICE,PLS,MONITOR NO INICIA APLICACIÓN,,2023-03-28 00:00:00,
